obs_id,train_id,class,letter
id_080697,train,7,h
id_080698,train,9,j
id_080699,valid,24,y
id_080700,test,NA,NA
id_080701,train,10,k
id_080702,train,16,q
id_080703,valid,1,b
id_080704,test,NA,NA
id_080705,train,9,j
id_080706,train,9,j
id_080707,valid,24,y
id_080708,test,NA,NA
id_080709,train,25,z
id_080710,train,1,b
id_080711,valid,13,n
id_080712,test,NA,NA
id_080713,train,19,t
id_080714,train,7,h
id_080715,valid,5,f
id_080716,test,NA,NA
id_080717,train,7,h
id_080718,train,10,k
id_080719,valid,0,a
id_080720,test,NA,NA
id_080721,train,3,d
id_080722,train,15,p
id_080723,valid,12,m
id_080724,test,NA,NA
id_080725,train,13,n
id_080726,train,10,k
id_080727,valid,14,o
id_080728,test,NA,NA
id_080729,train,14,o
id_080730,train,20,u
id_080731,valid,14,o
id_080732,test,NA,NA
id_080733,train,22,w
id_080734,train,14,o
id_080735,valid,18,s
id_080736,test,NA,NA
id_080737,train,7,h
id_080738,train,24,y
id_080739,valid,16,q
id_080740,test,NA,NA
id_080741,train,4,e
id_080742,train,15,p
id_080743,valid,1,b
id_080744,test,NA,NA
id_080745,train,16,q
id_080746,train,21,v
id_080747,valid,0,a
id_080748,test,NA,NA
id_080749,train,12,m
id_080750,train,10,k
id_080751,valid,14,o
id_080752,test,NA,NA
id_080753,train,22,w
id_080754,train,15,p
id_080755,valid,8,i
id_080756,test,NA,NA
id_080757,train,18,s
id_080758,train,0,a
id_080759,valid,21,v
id_080760,test,NA,NA
id_080761,train,18,s
id_080762,train,4,e
id_080763,valid,3,d
id_080764,test,NA,NA
id_080765,train,15,p
id_080766,train,5,f
id_080767,valid,9,j
id_080768,test,NA,NA
id_080769,train,1,b
id_080770,train,2,c
id_080771,valid,0,a
id_080772,test,NA,NA
id_080773,train,2,c
id_080774,train,7,h
id_080775,valid,7,h
id_080776,test,NA,NA
id_080777,train,18,s
id_080778,train,6,g
id_080779,valid,2,c
id_080780,test,NA,NA
id_080781,train,24,y
id_080782,train,16,q
id_080783,valid,18,s
id_080784,test,NA,NA
id_080785,train,2,c
id_080786,train,2,c
id_080787,valid,1,b
id_080788,test,NA,NA
id_080789,train,16,q
id_080790,train,10,k
id_080791,valid,23,x
id_080792,test,NA,NA
id_080793,train,6,g
id_080794,train,14,o
id_080795,valid,24,y
id_080796,test,NA,NA
id_080797,train,3,d
id_080798,train,21,v
id_080799,valid,10,k
id_080800,test,NA,NA
id_080801,train,14,o
id_080802,train,2,c
id_080803,valid,12,m
id_080804,test,NA,NA
id_080805,train,8,i
id_080806,train,5,f
id_080807,valid,0,a
id_080808,test,NA,NA
id_080809,train,0,a
id_080810,train,14,o
id_080811,valid,9,j
id_080812,test,NA,NA
id_080813,train,20,u
id_080814,train,1,b
id_080815,valid,22,w
id_080816,test,NA,NA
id_080817,train,3,d
id_080818,train,22,w
id_080819,valid,8,i
id_080820,test,NA,NA
id_080821,train,15,p
id_080822,train,17,r
id_080823,valid,6,g
id_080824,test,NA,NA
id_080825,train,21,v
id_080826,train,9,j
id_080827,valid,12,m
id_080828,test,NA,NA
id_080829,train,0,a
id_080830,train,21,v
id_080831,valid,11,l
id_080832,test,NA,NA
id_080833,train,8,i
id_080834,train,25,z
id_080835,valid,12,m
id_080836,test,NA,NA
id_080837,train,1,b
id_080838,train,5,f
id_080839,valid,25,z
id_080840,test,NA,NA
id_080841,train,11,l
id_080842,train,19,t
id_080843,valid,23,x
id_080844,test,NA,NA
id_080845,train,8,i
id_080846,train,15,p
id_080847,valid,13,n
id_080848,test,NA,NA
id_080849,train,7,h
id_080850,train,6,g
id_080851,valid,2,c
id_080852,test,NA,NA
id_080853,train,25,z
id_080854,train,10,k
id_080855,valid,14,o
id_080856,test,NA,NA
id_080857,train,3,d
id_080858,train,1,b
id_080859,valid,17,r
id_080860,test,NA,NA
id_080861,train,2,c
id_080862,train,16,q
id_080863,valid,5,f
id_080864,test,NA,NA
id_080865,train,12,m
id_080866,train,19,t
id_080867,valid,0,a
id_080868,test,NA,NA
id_080869,train,14,o
id_080870,train,2,c
id_080871,valid,12,m
id_080872,test,NA,NA
id_080873,train,6,g
id_080874,train,12,m
id_080875,valid,25,z
id_080876,test,NA,NA
id_080877,train,20,u
id_080878,train,19,t
id_080879,valid,15,p
id_080880,test,NA,NA
id_080881,train,0,a
id_080882,train,12,m
id_080883,valid,5,f
id_080884,test,NA,NA
id_080885,train,0,a
id_080886,train,25,z
id_080887,valid,17,r
id_080888,test,NA,NA
id_080889,train,0,a
id_080890,train,3,d
id_080891,valid,15,p
id_080892,test,NA,NA
id_080893,train,19,t
id_080894,train,15,p
id_080895,valid,15,p
id_080896,test,NA,NA
id_080897,train,5,f
id_080898,train,9,j
id_080899,valid,2,c
id_080900,test,NA,NA
id_080901,train,17,r
id_080902,train,21,v
id_080903,valid,20,u
id_080904,test,NA,NA
id_080905,train,24,y
id_080906,train,13,n
id_080907,valid,25,z
id_080908,test,NA,NA
id_080909,train,5,f
id_080910,train,9,j
id_080911,valid,15,p
id_080912,test,NA,NA
id_080913,train,8,i
id_080914,train,7,h
id_080915,valid,22,w
id_080916,test,NA,NA
id_080917,train,23,x
id_080918,train,8,i
id_080919,valid,23,x
id_080920,test,NA,NA
id_080921,train,18,s
id_080922,train,8,i
id_080923,valid,21,v
id_080924,test,NA,NA
id_080925,train,3,d
id_080926,train,0,a
id_080927,valid,2,c
id_080928,test,NA,NA
id_080929,train,12,m
id_080930,train,18,s
id_080931,valid,20,u
id_080932,test,NA,NA
id_080933,train,20,u
id_080934,train,0,a
id_080935,valid,1,b
id_080936,test,NA,NA
id_080937,train,7,h
id_080938,train,13,n
id_080939,valid,6,g
id_080940,test,NA,NA
id_080941,train,6,g
id_080942,train,12,m
id_080943,valid,12,m
id_080944,test,NA,NA
id_080945,train,6,g
id_080946,train,12,m
id_080947,valid,23,x
id_080948,test,NA,NA
id_080949,train,9,j
id_080950,train,23,x
id_080951,valid,4,e
id_080952,test,NA,NA
id_080953,train,0,a
id_080954,train,17,r
id_080955,valid,22,w
id_080956,test,NA,NA
id_080957,train,16,q
id_080958,train,0,a
id_080959,valid,0,a
id_080960,test,NA,NA
id_080961,train,5,f
id_080962,train,25,z
id_080963,valid,24,y
id_080964,test,NA,NA
id_080965,train,20,u
id_080966,train,25,z
id_080967,valid,20,u
id_080968,test,NA,NA
id_080969,train,21,v
id_080970,train,9,j
id_080971,valid,4,e
id_080972,test,NA,NA
id_080973,train,13,n
id_080974,train,9,j
id_080975,valid,11,l
id_080976,test,NA,NA
id_080977,train,11,l
id_080978,train,0,a
id_080979,valid,16,q
id_080980,test,NA,NA
id_080981,train,24,y
id_080982,train,5,f
id_080983,valid,23,x
id_080984,test,NA,NA
id_080985,train,25,z
id_080986,train,0,a
id_080987,valid,7,h
id_080988,test,NA,NA
id_080989,train,9,j
id_080990,train,7,h
id_080991,valid,8,i
id_080992,test,NA,NA
id_080993,train,6,g
id_080994,train,7,h
id_080995,valid,13,n
id_080996,test,NA,NA
id_080997,train,6,g
id_080998,train,16,q
id_080999,valid,17,r
id_081000,test,NA,NA
id_081001,train,0,a
id_081002,train,9,j
id_081003,valid,4,e
id_081004,test,NA,NA
id_081005,train,3,d
id_081006,train,7,h
id_081007,valid,17,r
id_081008,test,NA,NA
id_081009,train,22,w
id_081010,train,19,t
id_081011,valid,20,u
id_081012,test,NA,NA
id_081013,train,24,y
id_081014,train,0,a
id_081015,valid,8,i
id_081016,test,NA,NA
id_081017,train,6,g
id_081018,train,20,u
id_081019,valid,4,e
id_081020,test,NA,NA
id_081021,train,24,y
id_081022,train,1,b
id_081023,valid,14,o
id_081024,test,NA,NA
id_081025,train,2,c
id_081026,train,21,v
id_081027,valid,25,z
id_081028,test,NA,NA
id_081029,train,8,i
id_081030,train,19,t
id_081031,valid,18,s
id_081032,test,NA,NA
id_081033,train,2,c
id_081034,train,19,t
id_081035,valid,3,d
id_081036,test,NA,NA
id_081037,train,13,n
id_081038,train,12,m
id_081039,valid,3,d
id_081040,test,NA,NA
id_081041,train,3,d
id_081042,train,22,w
id_081043,valid,10,k
id_081044,test,NA,NA
id_081045,train,5,f
id_081046,train,13,n
id_081047,valid,23,x
id_081048,test,NA,NA
id_081049,train,2,c
id_081050,train,19,t
id_081051,valid,7,h
id_081052,test,NA,NA
id_081053,train,20,u
id_081054,train,13,n
id_081055,valid,3,d
id_081056,test,NA,NA
id_081057,train,24,y
id_081058,train,14,o
id_081059,valid,14,o
id_081060,test,NA,NA
id_081061,train,14,o
id_081062,train,17,r
id_081063,valid,14,o
id_081064,test,NA,NA
id_081065,train,19,t
id_081066,train,18,s
id_081067,valid,21,v
id_081068,test,NA,NA
id_081069,train,11,l
id_081070,train,16,q
id_081071,valid,2,c
id_081072,test,NA,NA
id_081073,train,19,t
id_081074,train,1,b
id_081075,valid,25,z
id_081076,test,NA,NA
id_081077,train,17,r
id_081078,train,8,i
id_081079,valid,22,w
id_081080,test,NA,NA
id_081081,train,8,i
id_081082,train,4,e
id_081083,valid,20,u
id_081084,test,NA,NA
id_081085,train,17,r
id_081086,train,16,q
id_081087,valid,4,e
id_081088,test,NA,NA
id_081089,train,8,i
id_081090,train,18,s
id_081091,valid,5,f
id_081092,test,NA,NA
id_081093,train,21,v
id_081094,train,15,p
id_081095,valid,4,e
id_081096,test,NA,NA
id_081097,train,17,r
id_081098,train,19,t
id_081099,valid,1,b
id_081100,test,NA,NA
id_081101,train,13,n
id_081102,train,14,o
id_081103,valid,20,u
id_081104,test,NA,NA
id_081105,train,3,d
id_081106,train,17,r
id_081107,valid,18,s
id_081108,test,NA,NA
id_081109,train,20,u
id_081110,train,19,t
id_081111,valid,17,r
id_081112,test,NA,NA
id_081113,train,13,n
id_081114,train,7,h
id_081115,valid,0,a
id_081116,test,NA,NA
id_081117,train,17,r
id_081118,train,25,z
id_081119,valid,6,g
id_081120,test,NA,NA
id_081121,train,19,t
id_081122,train,8,i
id_081123,valid,20,u
id_081124,test,NA,NA
id_081125,train,19,t
id_081126,train,20,u
id_081127,valid,25,z
id_081128,test,NA,NA
id_081129,train,13,n
id_081130,train,0,a
id_081131,valid,5,f
id_081132,test,NA,NA
id_081133,train,1,b
id_081134,train,15,p
id_081135,valid,6,g
id_081136,test,NA,NA
id_081137,train,4,e
id_081138,train,2,c
id_081139,valid,20,u
id_081140,test,NA,NA
id_081141,train,17,r
id_081142,train,13,n
id_081143,valid,11,l
id_081144,test,NA,NA
id_081145,train,19,t
id_081146,train,19,t
id_081147,valid,14,o
id_081148,test,NA,NA
id_081149,train,0,a
id_081150,train,4,e
id_081151,valid,25,z
id_081152,test,NA,NA
id_081153,train,5,f
id_081154,train,11,l
id_081155,valid,12,m
id_081156,test,NA,NA
id_081157,train,12,m
id_081158,train,25,z
id_081159,valid,11,l
id_081160,test,NA,NA
id_081161,train,7,h
id_081162,train,9,j
id_081163,valid,25,z
id_081164,test,NA,NA
id_081165,train,5,f
id_081166,train,17,r
id_081167,valid,7,h
id_081168,test,NA,NA
id_081169,train,20,u
id_081170,train,0,a
id_081171,valid,19,t
id_081172,test,NA,NA
id_081173,train,20,u
id_081174,train,21,v
id_081175,valid,22,w
id_081176,test,NA,NA
id_081177,train,0,a
id_081178,train,12,m
id_081179,valid,23,x
id_081180,test,NA,NA
id_081181,train,18,s
id_081182,train,7,h
id_081183,valid,3,d
id_081184,test,NA,NA
id_081185,train,17,r
id_081186,train,1,b
id_081187,valid,17,r
id_081188,test,NA,NA
id_081189,train,14,o
id_081190,train,9,j
id_081191,valid,20,u
id_081192,test,NA,NA
id_081193,train,1,b
id_081194,train,22,w
id_081195,valid,21,v
id_081196,test,NA,NA
id_081197,train,8,i
id_081198,train,0,a
id_081199,valid,23,x
id_081200,test,NA,NA
id_081201,train,13,n
id_081202,train,3,d
id_081203,valid,7,h
id_081204,test,NA,NA
id_081205,train,15,p
id_081206,train,23,x
id_081207,valid,2,c
id_081208,test,NA,NA
id_081209,train,13,n
id_081210,train,17,r
id_081211,valid,18,s
id_081212,test,NA,NA
id_081213,train,4,e
id_081214,train,22,w
id_081215,valid,12,m
id_081216,test,NA,NA
id_081217,train,22,w
id_081218,train,14,o
id_081219,valid,10,k
id_081220,test,NA,NA
id_081221,train,2,c
id_081222,train,14,o
id_081223,valid,1,b
id_081224,test,NA,NA
id_081225,train,9,j
id_081226,train,6,g
id_081227,valid,3,d
id_081228,test,NA,NA
id_081229,train,7,h
id_081230,train,10,k
id_081231,valid,21,v
id_081232,test,NA,NA
id_081233,train,11,l
id_081234,train,3,d
id_081235,valid,21,v
id_081236,test,NA,NA
id_081237,train,13,n
id_081238,train,20,u
id_081239,valid,7,h
id_081240,test,NA,NA
id_081241,train,24,y
id_081242,train,18,s
id_081243,valid,14,o
id_081244,test,NA,NA
id_081245,train,21,v
id_081246,train,23,x
id_081247,valid,19,t
id_081248,test,NA,NA
id_081249,train,19,t
id_081250,train,14,o
id_081251,valid,1,b
id_081252,test,NA,NA
id_081253,train,20,u
id_081254,train,16,q
id_081255,valid,17,r
id_081256,test,NA,NA
id_081257,train,10,k
id_081258,train,8,i
id_081259,valid,25,z
id_081260,test,NA,NA
id_081261,train,13,n
id_081262,train,6,g
id_081263,valid,3,d
id_081264,test,NA,NA
id_081265,train,5,f
id_081266,train,17,r
id_081267,valid,2,c
id_081268,test,NA,NA
id_081269,train,17,r
id_081270,train,14,o
id_081271,valid,9,j
id_081272,test,NA,NA
id_081273,train,24,y
id_081274,train,11,l
id_081275,valid,2,c
id_081276,test,NA,NA
id_081277,train,4,e
id_081278,train,16,q
id_081279,valid,22,w
id_081280,test,NA,NA
id_081281,train,3,d
id_081282,train,14,o
id_081283,valid,23,x
id_081284,test,NA,NA
id_081285,train,2,c
id_081286,train,10,k
id_081287,valid,1,b
id_081288,test,NA,NA
id_081289,train,25,z
id_081290,train,24,y
id_081291,valid,3,d
id_081292,test,NA,NA
id_081293,train,19,t
id_081294,train,8,i
id_081295,valid,9,j
id_081296,test,NA,NA
id_081297,train,17,r
id_081298,train,19,t
id_081299,valid,0,a
id_081300,test,NA,NA
id_081301,train,9,j
id_081302,train,10,k
id_081303,valid,14,o
id_081304,test,NA,NA
id_081305,train,1,b
id_081306,train,24,y
id_081307,valid,0,a
id_081308,test,NA,NA
id_081309,train,5,f
id_081310,train,9,j
id_081311,valid,18,s
id_081312,test,NA,NA
id_081313,train,4,e
id_081314,train,13,n
id_081315,valid,25,z
id_081316,test,NA,NA
id_081317,train,23,x
id_081318,train,13,n
id_081319,valid,8,i
id_081320,test,NA,NA
id_081321,train,23,x
id_081322,train,20,u
id_081323,valid,14,o
id_081324,test,NA,NA
id_081325,train,5,f
id_081326,train,9,j
id_081327,valid,20,u
id_081328,test,NA,NA
id_081329,train,11,l
id_081330,train,1,b
id_081331,valid,5,f
id_081332,test,NA,NA
id_081333,train,17,r
id_081334,train,17,r
id_081335,valid,18,s
id_081336,test,NA,NA
id_081337,train,23,x
id_081338,train,18,s
id_081339,valid,0,a
id_081340,test,NA,NA
id_081341,train,5,f
id_081342,train,3,d
id_081343,valid,5,f
id_081344,test,NA,NA
id_081345,train,20,u
id_081346,train,17,r
id_081347,valid,7,h
id_081348,test,NA,NA
id_081349,train,24,y
id_081350,train,21,v
id_081351,valid,24,y
id_081352,test,NA,NA
id_081353,train,18,s
id_081354,train,19,t
id_081355,valid,21,v
id_081356,test,NA,NA
id_081357,train,14,o
id_081358,train,18,s
id_081359,valid,1,b
id_081360,test,NA,NA
id_081361,train,23,x
id_081362,train,8,i
id_081363,valid,8,i
id_081364,test,NA,NA
id_081365,train,18,s
id_081366,train,14,o
id_081367,valid,23,x
id_081368,test,NA,NA
id_081369,train,18,s
id_081370,train,6,g
id_081371,valid,6,g
id_081372,test,NA,NA
id_081373,train,22,w
id_081374,train,24,y
id_081375,valid,21,v
id_081376,test,NA,NA
id_081377,train,25,z
id_081378,train,10,k
id_081379,valid,9,j
id_081380,test,NA,NA
id_081381,train,23,x
id_081382,train,7,h
id_081383,valid,21,v
id_081384,test,NA,NA
id_081385,train,13,n
id_081386,train,16,q
id_081387,valid,8,i
id_081388,test,NA,NA
id_081389,train,6,g
id_081390,train,19,t
id_081391,valid,19,t
id_081392,test,NA,NA
id_081393,train,11,l
id_081394,train,20,u
id_081395,valid,14,o
id_081396,test,NA,NA
id_081397,train,8,i
id_081398,train,24,y
id_081399,valid,2,c
id_081400,test,NA,NA
id_081401,train,17,r
id_081402,train,0,a
id_081403,valid,20,u
id_081404,test,NA,NA
id_081405,train,19,t
id_081406,train,0,a
id_081407,valid,3,d
id_081408,test,NA,NA
id_081409,train,23,x
id_081410,train,8,i
id_081411,valid,9,j
id_081412,test,NA,NA
id_081413,train,0,a
id_081414,train,7,h
id_081415,valid,19,t
id_081416,test,NA,NA
id_081417,train,3,d
id_081418,train,18,s
id_081419,valid,0,a
id_081420,test,NA,NA
id_081421,train,6,g
id_081422,train,5,f
id_081423,valid,22,w
id_081424,test,NA,NA
id_081425,train,3,d
id_081426,train,20,u
id_081427,valid,11,l
id_081428,test,NA,NA
id_081429,train,11,l
id_081430,train,2,c
id_081431,valid,6,g
id_081432,test,NA,NA
id_081433,train,11,l
id_081434,train,21,v
id_081435,valid,4,e
id_081436,test,NA,NA
id_081437,train,17,r
id_081438,train,14,o
id_081439,valid,5,f
id_081440,test,NA,NA
id_081441,train,16,q
id_081442,train,11,l
id_081443,valid,15,p
id_081444,test,NA,NA
id_081445,train,7,h
id_081446,train,6,g
id_081447,valid,20,u
id_081448,test,NA,NA
id_081449,train,1,b
id_081450,train,9,j
id_081451,valid,0,a
id_081452,test,NA,NA
id_081453,train,8,i
id_081454,train,17,r
id_081455,valid,15,p
id_081456,test,NA,NA
id_081457,train,19,t
id_081458,train,11,l
id_081459,valid,12,m
id_081460,test,NA,NA
id_081461,train,6,g
id_081462,train,16,q
id_081463,valid,14,o
id_081464,test,NA,NA
id_081465,train,25,z
id_081466,train,17,r
id_081467,valid,6,g
id_081468,test,NA,NA
id_081469,train,7,h
id_081470,train,18,s
id_081471,valid,19,t
id_081472,test,NA,NA
id_081473,train,13,n
id_081474,train,21,v
id_081475,valid,3,d
id_081476,test,NA,NA
id_081477,train,2,c
id_081478,train,16,q
id_081479,valid,22,w
id_081480,test,NA,NA
id_081481,train,14,o
id_081482,train,7,h
id_081483,valid,17,r
id_081484,test,NA,NA
id_081485,train,21,v
id_081486,train,22,w
id_081487,valid,16,q
id_081488,test,NA,NA
id_081489,train,25,z
id_081490,train,21,v
id_081491,valid,8,i
id_081492,test,NA,NA
id_081493,train,12,m
id_081494,train,22,w
id_081495,valid,19,t
id_081496,test,NA,NA
id_081497,train,25,z
id_081498,train,10,k
id_081499,valid,16,q
id_081500,test,NA,NA
id_081501,train,16,q
id_081502,train,20,u
id_081503,valid,1,b
id_081504,test,NA,NA
id_081505,train,23,x
id_081506,train,2,c
id_081507,valid,11,l
id_081508,test,NA,NA
id_081509,train,14,o
id_081510,train,4,e
id_081511,valid,17,r
id_081512,test,NA,NA
id_081513,train,1,b
id_081514,train,21,v
id_081515,valid,23,x
id_081516,test,NA,NA
id_081517,train,11,l
id_081518,train,16,q
id_081519,valid,22,w
id_081520,test,NA,NA
id_081521,train,24,y
id_081522,train,12,m
id_081523,valid,20,u
id_081524,test,NA,NA
id_081525,train,9,j
id_081526,train,9,j
id_081527,valid,21,v
id_081528,test,NA,NA
id_081529,train,3,d
id_081530,train,1,b
id_081531,valid,2,c
id_081532,test,NA,NA
id_081533,train,7,h
id_081534,train,5,f
id_081535,valid,6,g
id_081536,test,NA,NA
id_081537,train,21,v
id_081538,train,9,j
id_081539,valid,2,c
id_081540,test,NA,NA
id_081541,train,12,m
id_081542,train,23,x
id_081543,valid,15,p
id_081544,test,NA,NA
id_081545,train,0,a
id_081546,train,8,i
id_081547,valid,22,w
id_081548,test,NA,NA
id_081549,train,12,m
id_081550,train,6,g
id_081551,valid,22,w
id_081552,test,NA,NA
id_081553,train,15,p
id_081554,train,6,g
id_081555,valid,8,i
id_081556,test,NA,NA
id_081557,train,13,n
id_081558,train,3,d
id_081559,valid,15,p
id_081560,test,NA,NA
id_081561,train,6,g
id_081562,train,24,y
id_081563,valid,24,y
id_081564,test,NA,NA
id_081565,train,16,q
id_081566,train,20,u
id_081567,valid,13,n
id_081568,test,NA,NA
id_081569,train,14,o
id_081570,train,2,c
id_081571,valid,17,r
id_081572,test,NA,NA
id_081573,train,10,k
id_081574,train,25,z
id_081575,valid,20,u
id_081576,test,NA,NA
id_081577,train,9,j
id_081578,train,14,o
id_081579,valid,11,l
id_081580,test,NA,NA
id_081581,train,4,e
id_081582,train,7,h
id_081583,valid,1,b
id_081584,test,NA,NA
id_081585,train,18,s
id_081586,train,23,x
id_081587,valid,10,k
id_081588,test,NA,NA
id_081589,train,13,n
id_081590,train,10,k
id_081591,valid,23,x
id_081592,test,NA,NA
id_081593,train,14,o
id_081594,train,13,n
id_081595,valid,15,p
id_081596,test,NA,NA
id_081597,train,9,j
id_081598,train,9,j
id_081599,valid,4,e
id_081600,test,NA,NA
id_081601,train,16,q
id_081602,train,3,d
id_081603,valid,16,q
id_081604,test,NA,NA
id_081605,train,15,p
id_081606,train,0,a
id_081607,valid,23,x
id_081608,test,NA,NA
id_081609,train,3,d
id_081610,train,18,s
id_081611,valid,23,x
id_081612,test,NA,NA
id_081613,train,12,m
id_081614,train,5,f
id_081615,valid,1,b
id_081616,test,NA,NA
id_081617,train,13,n
id_081618,train,22,w
id_081619,valid,7,h
id_081620,test,NA,NA
id_081621,train,25,z
id_081622,train,21,v
id_081623,valid,23,x
id_081624,test,NA,NA
id_081625,train,16,q
id_081626,train,22,w
id_081627,valid,19,t
id_081628,test,NA,NA
id_081629,train,14,o
id_081630,train,16,q
id_081631,valid,22,w
id_081632,test,NA,NA
id_081633,train,4,e
id_081634,train,13,n
id_081635,valid,22,w
id_081636,test,NA,NA
id_081637,train,6,g
id_081638,train,25,z
id_081639,valid,0,a
id_081640,test,NA,NA
id_081641,train,23,x
id_081642,train,23,x
id_081643,valid,5,f
id_081644,test,NA,NA
id_081645,train,10,k
id_081646,train,11,l
id_081647,valid,11,l
id_081648,test,NA,NA
id_081649,train,6,g
id_081650,train,21,v
id_081651,valid,9,j
id_081652,test,NA,NA
id_081653,train,16,q
id_081654,train,0,a
id_081655,valid,21,v
id_081656,test,NA,NA
id_081657,train,5,f
id_081658,train,14,o
id_081659,valid,13,n
id_081660,test,NA,NA
id_081661,train,2,c
id_081662,train,13,n
id_081663,valid,2,c
id_081664,test,NA,NA
id_081665,train,18,s
id_081666,train,14,o
id_081667,valid,21,v
id_081668,test,NA,NA
id_081669,train,18,s
id_081670,train,19,t
id_081671,valid,23,x
id_081672,test,NA,NA
id_081673,train,17,r
id_081674,train,2,c
id_081675,valid,14,o
id_081676,test,NA,NA
id_081677,train,7,h
id_081678,train,10,k
id_081679,valid,17,r
id_081680,test,NA,NA
id_081681,train,24,y
id_081682,train,3,d
id_081683,valid,14,o
id_081684,test,NA,NA
id_081685,train,2,c
id_081686,train,15,p
id_081687,valid,1,b
id_081688,test,NA,NA
id_081689,train,2,c
id_081690,train,15,p
id_081691,valid,21,v
id_081692,test,NA,NA
id_081693,train,25,z
id_081694,train,6,g
id_081695,valid,7,h
id_081696,test,NA,NA
id_081697,train,14,o
id_081698,train,3,d
id_081699,valid,12,m
id_081700,test,NA,NA
id_081701,train,22,w
id_081702,train,23,x
id_081703,valid,7,h
id_081704,test,NA,NA
id_081705,train,15,p
id_081706,train,0,a
id_081707,valid,16,q
id_081708,test,NA,NA
id_081709,train,13,n
id_081710,train,20,u
id_081711,valid,9,j
id_081712,test,NA,NA
id_081713,train,1,b
id_081714,train,18,s
id_081715,valid,16,q
id_081716,test,NA,NA
id_081717,train,15,p
id_081718,train,11,l
id_081719,valid,15,p
id_081720,test,NA,NA
id_081721,train,14,o
id_081722,train,12,m
id_081723,valid,9,j
id_081724,test,NA,NA
id_081725,train,20,u
id_081726,train,1,b
id_081727,valid,25,z
id_081728,test,NA,NA
id_081729,train,14,o
id_081730,train,16,q
id_081731,valid,21,v
id_081732,test,NA,NA
id_081733,train,3,d
id_081734,train,2,c
id_081735,valid,2,c
id_081736,test,NA,NA
id_081737,train,11,l
id_081738,train,11,l
id_081739,valid,2,c
id_081740,test,NA,NA
id_081741,train,13,n
id_081742,train,13,n
id_081743,valid,16,q
id_081744,test,NA,NA
id_081745,train,14,o
id_081746,train,15,p
id_081747,valid,17,r
id_081748,test,NA,NA
id_081749,train,10,k
id_081750,train,5,f
id_081751,valid,18,s
id_081752,test,NA,NA
id_081753,train,5,f
id_081754,train,9,j
id_081755,valid,22,w
id_081756,test,NA,NA
id_081757,train,17,r
id_081758,train,13,n
id_081759,valid,10,k
id_081760,test,NA,NA
id_081761,train,22,w
id_081762,train,0,a
id_081763,valid,6,g
id_081764,test,NA,NA
id_081765,train,7,h
id_081766,train,21,v
id_081767,valid,15,p
id_081768,test,NA,NA
id_081769,train,5,f
id_081770,train,14,o
id_081771,valid,10,k
id_081772,test,NA,NA
id_081773,train,24,y
id_081774,train,2,c
id_081775,valid,22,w
id_081776,test,NA,NA
id_081777,train,5,f
id_081778,train,0,a
id_081779,valid,5,f
id_081780,test,NA,NA
id_081781,train,25,z
id_081782,train,1,b
id_081783,valid,15,p
id_081784,test,NA,NA
id_081785,train,1,b
id_081786,train,0,a
id_081787,valid,10,k
id_081788,test,NA,NA
id_081789,train,4,e
id_081790,train,11,l
id_081791,valid,7,h
id_081792,test,NA,NA
id_081793,train,0,a
id_081794,train,12,m
id_081795,valid,11,l
id_081796,test,NA,NA
id_081797,train,22,w
id_081798,train,18,s
id_081799,valid,19,t
id_081800,test,NA,NA
id_081801,train,3,d
id_081802,train,7,h
id_081803,valid,14,o
id_081804,test,NA,NA
id_081805,train,6,g
id_081806,train,13,n
id_081807,valid,19,t
id_081808,test,NA,NA
id_081809,train,8,i
id_081810,train,9,j
id_081811,valid,15,p
id_081812,test,NA,NA
id_081813,train,5,f
id_081814,train,13,n
id_081815,valid,6,g
id_081816,test,NA,NA
id_081817,train,1,b
id_081818,train,2,c
id_081819,valid,10,k
id_081820,test,NA,NA
id_081821,train,25,z
id_081822,train,13,n
id_081823,valid,16,q
id_081824,test,NA,NA
id_081825,train,3,d
id_081826,train,8,i
id_081827,valid,4,e
id_081828,test,NA,NA
id_081829,train,24,y
id_081830,train,13,n
id_081831,valid,18,s
id_081832,test,NA,NA
id_081833,train,11,l
id_081834,train,13,n
id_081835,valid,8,i
id_081836,test,NA,NA
id_081837,train,1,b
id_081838,train,0,a
id_081839,valid,3,d
id_081840,test,NA,NA
id_081841,train,15,p
id_081842,train,19,t
id_081843,valid,12,m
id_081844,test,NA,NA
id_081845,train,4,e
id_081846,train,17,r
id_081847,valid,13,n
id_081848,test,NA,NA
id_081849,train,11,l
id_081850,train,16,q
id_081851,valid,7,h
id_081852,test,NA,NA
id_081853,train,19,t
id_081854,train,19,t
id_081855,valid,13,n
id_081856,test,NA,NA
id_081857,train,2,c
id_081858,train,20,u
id_081859,valid,10,k
id_081860,test,NA,NA
id_081861,train,17,r
id_081862,train,25,z
id_081863,valid,14,o
id_081864,test,NA,NA
id_081865,train,2,c
id_081866,train,19,t
id_081867,valid,3,d
id_081868,test,NA,NA
id_081869,train,22,w
id_081870,train,23,x
id_081871,valid,22,w
id_081872,test,NA,NA
id_081873,train,16,q
id_081874,train,12,m
id_081875,valid,19,t
id_081876,test,NA,NA
id_081877,train,23,x
id_081878,train,1,b
id_081879,valid,7,h
id_081880,test,NA,NA
id_081881,train,16,q
id_081882,train,2,c
id_081883,valid,10,k
id_081884,test,NA,NA
id_081885,train,17,r
id_081886,train,4,e
